GRID_ID.1,STARTweek_stravaDATE_cast,GRID_ID,ENDweek_stravaDATE_cast,SUM_total_trip_count,EcoCntr_weekly_SUM,MAX_slopePct,STARTweek_Time,HEXid_weekID,HEXid_WeekID,ENDweek_Time,week_id,week_start
BD-17,2021-11-15,BD-17,2021-11-21 23:59:00,1330.0,749,,2021-11-15,BD-17_150,BD-17_150,2021-11-21 23:59:00,BD-17_150,2021-11-15
BL-36,2019-10-07,BL-36,2019-10-13 23:59:00,1390.0,1551,,2019-10-07,BL-36_40,BL-36_40,2019-10-13 23:59:00,BL-36_40,2019-10-07
BD-26,2019-08-05,BD-26,2019-08-11 23:59:00,360.0,1060,,2019-08-05,BD-26_31,BD-26_31,2019-08-11 23:59:00,BD-26_31,2019-08-05
BH-26,2021-12-13,BH-26,2021-12-19 23:59:00,1005.0,483,,2021-12-13,BH-26_154,BH-26_154,2021-12-19 23:59:00,BH-26_154,2021-12-13
BI-29,2020-01-20,BI-29,2020-01-26 23:59:00,370.0,945,,2020-01-20,BI-29_55,BI-29_55,2020-01-26 23:59:00,BI-29_55,2020-01-20
BI-29,2019-08-19,BI-29,2019-08-25 23:59:00,1150.0,2246,,2019-08-19,BI-29_33,BI-29_33,2019-08-25 23:59:00,BI-29_33,2019-08-19
BK-32,2019-05-06,BK-32,2019-05-12 23:59:00,1455.0,2060,,2019-05-06,BK-32_18,BK-32_18,2019-05-12 23:59:00,BK-32_18,2019-05-06
BD-26,2019-05-27,BD-26,2019-06-02 23:59:00,405.0,4530,,2019-05-27,BD-26_21,BD-26_21,2019-06-02 23:59:00,BD-26_21,2019-05-27
BE-15,2023-07-17,BE-15,2023-07-23 23:59:00,20500.0,5960,,2023-07-17,BE-15_237,BE-15_237,2023-07-23 23:59:00,BE-15_237,2023-07-17
BI-29,2021-05-10,BI-29,2021-05-16 23:59:00,1855.0,3857,,2021-05-10,BI-29_123,BI-29_123,2021-05-16 23:59:00,BI-29_123,2021-05-10
BD-17,2021-11-01,BD-17,2021-11-07 23:59:00,1330.0,892,,2021-11-01,BD-17_148,BD-17_148,2021-11-07 23:59:00,BD-17_148,2021-11-01
BH-24,2023-08-07,BH-24,2023-08-13 23:59:00,2305.0,2145,,2023-08-07,BH-24_240,BH-24_240,2023-08-13 23:59:00,BH-24_240,2023-08-07
BK-32,2021-08-16,BK-32,2021-08-22 23:59:00,4075.0,5050,,2021-08-16,BK-32_137,BK-32_137,2021-08-22 23:59:00,BK-32_137,2021-08-16
BH-24,2023-10-16,BH-24,2023-10-22 23:59:00,2700.0,2295,,2023-10-16,BH-24_250,BH-24_250,2023-10-22 23:59:00,BH-24_250,2023-10-16
BN-62,2022-10-17,BN-62,2022-10-23 23:59:00,620.0,939,,2022-10-17,BN-62_198,BN-62_198,2022-10-23 23:59:00,BN-62_198,2022-10-17
BL-36,2023-05-01,BL-36,2023-05-07 23:59:00,9810.0,0,,2023-05-01,BL-36_226,BL-36_226,2023-05-07 23:59:00,BL-36_226,2023-05-01
BK-32,2021-02-22,BK-32,2021-02-28 23:59:00,1685.0,3359,,2021-02-22,BK-32_112,BK-32_112,2021-02-28 23:59:00,BK-32_112,2021-02-22
BI-29,2023-11-27,BI-29,2023-12-03 23:59:00,395.0,0,,2023-11-27,BI-29_256,BI-29_256,2023-12-03 23:59:00,BI-29_256,2023-11-27
BQ-25,2020-09-14,BQ-25,2020-09-20 23:59:00,7510.0,0,,2020-09-14,BQ-25_89,BQ-25_89,2020-09-20 23:59:00,BQ-25_89,2020-09-14
BL-36,2022-05-02,BL-36,2022-05-08 23:59:00,4835.0,0,,2022-05-02,BL-36_174,BL-36_174,2022-05-08 23:59:00,BL-36_174,2022-05-02
BI-29,2019-03-11,BI-29,2019-03-17 23:59:00,690.0,1918,,2019-03-11,BI-29_10,BI-29_10,2019-03-17 23:59:00,BI-29_10,2019-03-11
BH-26,2022-11-21,BH-26,2022-11-27 23:59:00,1375.0,457,,2022-11-21,BH-26_203,BH-26_203,2022-11-27 23:59:00,BH-26_203,2022-11-21
BD-17,2023-07-31,BD-17,2023-08-06 23:59:00,1880.0,1236,,2023-07-31,BD-17_239,BD-17_239,2023-08-06 23:59:00,BD-17_239,2023-07-31
BD-26,2021-09-13,BD-26,2021-09-19 23:59:00,690.0,2388,,2021-09-13,BD-26_141,BD-26_141,2021-09-19 23:59:00,BD-26_141,2021-09-13
BK-32,2022-01-10,BK-32,2022-01-16 23:59:00,1100.0,1644,,2022-01-10,BK-32_158,BK-32_158,2022-01-16 23:59:00,BK-32_158,2022-01-10
BI-29,2022-07-18,BI-29,2022-07-24 23:59:00,1670.0,760,,2022-07-18,BI-29_185,BI-29_185,2022-07-24 23:59:00,BI-29_185,2022-07-18
